ΚΑΤΑ ΜΑΡΚΟΝ 
Mk 1:1	Ἀρχὴ τοῦ εὐαγγελίου Ἰησοῦ ⸀χριστοῦ. 
Mk 1:12	Καὶ εὐθὺς τὸ πνεῦμα αὐτὸν ἐκβάλλει εἰς τὴν ἔρημον. 
Mk 1:13	καὶ ⸀ἦν ἐν τῇ ἐρήμῳ ⸂τεσσεράκοντα ἡμέρας⸃ πειραζόμενος ὑπὸ τοῦ Σατανᾶ, καὶ ἦν μετὰ τῶν θηρίων, καὶ οἱ ἄγγελοι διηκόνουν αὐτῷ. 
Mk 1:14	⸂Καὶ μετὰ⸃ τὸ παραδοθῆναι τὸν Ἰωάννην ἦλθεν ὁ Ἰησοῦς εἰς τὴν Γαλιλαίαν κηρύσσων τὸ ⸀εὐαγγέλιον τοῦ θεοῦ 
Mk 1:15	καὶ λέγων ὅτι Πεπλήρωται ὁ καιρὸς καὶ ἤγγικεν ἡ βασιλεία τοῦ θεοῦ· μετανοεῖτε καὶ πιστεύετε ἐν τῷ εὐαγγελίῳ. 
Mk 1:16	⸂Καὶ παράγων⸃ παρὰ τὴν θάλασσαν τῆς Γαλιλαίας εἶδεν Σίμωνα καὶ Ἀνδρέαν τὸν ⸀ἀδελφὸν Σίμωνος ⸀ἀμφιβάλλοντας ἐν τῇ θαλάσσῃ, ἦσαν γὰρ ἁλιεῖς· 
Mk 1:17	καὶ εἶπεν αὐτοῖς ὁ Ἰησοῦς· Δεῦτε ὀπίσω μου, καὶ ποιήσω ὑμᾶς γενέσθαι ἁλιεῖς ἀνθρώπων. 
Mk 1:18	καὶ ⸀εὐθὺς ἀφέντες τὰ ⸀δίκτυα ἠκολούθησαν αὐτῷ. 
Mk 1:19	καὶ ⸀προβὰς ὀλίγον εἶδεν Ἰάκωβον τὸν τοῦ Ζεβεδαίου καὶ Ἰωάννην τὸν ἀδελφὸν αὐτοῦ, καὶ αὐτοὺς ἐν τῷ πλοίῳ καταρτίζοντας τὰ δίκτυα, 
Mk 1:20	καὶ ⸀εὐθὺς ἐκάλεσεν αὐτούς. καὶ ἀφέντες τὸν πατέρα αὐτῶν Ζεβεδαῖον ἐν τῷ πλοίῳ μετὰ τῶν μισθωτῶν ἀπῆλθον ὀπίσω αὐτοῦ. 
Mk 1:21	Καὶ εἰσπορεύονται εἰς Καφαρναούμ. καὶ ⸀εὐθὺς τοῖς σάββασιν ⸂ἐδίδασκεν εἰς τὴν συναγωγήν⸃. 
Mk 1:22	καὶ ἐξεπλήσσοντο ἐπὶ τῇ διδαχῇ αὐτοῦ, ἦν γὰρ διδάσκων αὐτοὺς ὡς ἐξουσίαν ἔχων καὶ οὐχ ὡς οἱ γραμματεῖς. 
Mk 1:23	καὶ ⸀εὐθὺς ἦν ἐν τῇ συναγωγῇ αὐτῶν ἄνθρωπος ἐν πνεύματι ἀκαθάρτῳ καὶ ἀνέκραξεν 
Mk 1:24	λέγων· ⸀Τί ἡμῖν καὶ σοί, Ἰησοῦ Ναζαρηνέ; ἦλθες ἀπολέσαι ἡμᾶς; οἶδά σε τίς εἶ, ὁ ἅγιος τοῦ θεοῦ. 
Mk 1:25	καὶ ἐπετίμησεν αὐτῷ ὁ Ἰησοῦς λέγων· Φιμώθητι καὶ ἔξελθε ἐξ αὐτοῦ. 
Mk 1:26	καὶ σπαράξαν αὐτὸν τὸ πνεῦμα τὸ ἀκάθαρτον καὶ ⸀φωνῆσαν φωνῇ μεγάλῃ ἐξῆλθεν ἐξ αὐτοῦ. 
Mk 1:27	καὶ ἐθαμβήθησαν ⸀ἅπαντες, ὥστε συζητεῖν ⸂πρὸς ἑαυτοὺς⸃ λέγοντας· Τί ἐστιν τοῦτο; ⸂διδαχὴ καινή⸃· κατ’ ἐξουσίαν καὶ τοῖς πνεύμασι τοῖς ἀκαθάρτοις ἐπιτάσσει, καὶ ὑπακούουσιν αὐτῷ. 
Mk 1:28	⸂καὶ ἐξῆλθεν⸃ ἡ ἀκοὴ αὐτοῦ εὐθὺς ⸀πανταχοῦ εἰς ὅλην τὴν περίχωρον τῆς Γαλιλαίας. 
Mk 1:29	Καὶ ⸀εὐθὺς ἐκ τῆς συναγωγῆς ⸂ἐξελθόντες ἦλθον⸃ εἰς τὴν οἰκίαν Σίμωνος καὶ Ἀνδρέου μετὰ Ἰακώβου καὶ Ἰωάννου. 
Mk 1:30	ἡ δὲ πενθερὰ Σίμωνος κατέκειτο πυρέσσουσα, καὶ ⸀εὐθὺς λέγουσιν αὐτῷ περὶ αὐτῆς. 
Mk 1:31	καὶ προσελθὼν ἤγειρεν αὐτὴν κρατήσας τῆς ⸀χειρός· καὶ ἀφῆκεν αὐτὴν ὁ ⸀πυρετός, καὶ διηκόνει αὐτοῖς. 
Mk 1:32	Ὀψίας δὲ γενομένης, ὅτε ⸀ἔδυ ὁ ἥλιος, ἔφερον πρὸς αὐτὸν πάντας τοὺς κακῶς ἔχοντας καὶ τοὺς δαιμονιζομένους· 
Mk 1:33	καὶ ⸂ἦν ὅλη ἡ πόλις ἐπισυνηγμένη⸃ πρὸς τὴν θύραν. 
Mk 1:34	καὶ ἐθεράπευσεν πολλοὺς κακῶς ἔχοντας ποικίλαις νόσοις, καὶ δαιμόνια πολλὰ ἐξέβαλεν, καὶ οὐκ ἤφιεν λαλεῖν τὰ δαιμόνια, ὅτι ᾔδεισαν ⸀αὐτόν. 
Mk 1:35	Καὶ πρωῒ ἔννυχα λίαν ἀναστὰς ἐξῆλθεν καὶ ἀπῆλθεν εἰς ἔρημον τόπον κἀκεῖ προσηύχετο. 
Mk 1:36	καὶ ⸀κατεδίωξεν αὐτὸν ⸀Σίμων καὶ οἱ μετ’ αὐτοῦ, 
Mk 1:37	καὶ ⸂εὗρον αὐτὸν καὶ⸃ λέγουσιν αὐτῷ ὅτι Πάντες ⸂ζητοῦσίν σε⸃. 
Mk 1:38	καὶ λέγει αὐτοῖς· Ἄγωμεν ⸀ἀλλαχοῦ εἰς τὰς ἐχομένας κωμοπόλεις, ἵνα καὶ ἐκεῖ κηρύξω, εἰς τοῦτο γὰρ ⸀ἐξῆλθον. 
Mk 1:39	καὶ ⸀ἦλθεν κηρύσσων ⸂εἰς τὰς συναγωγὰς⸃ αὐτῶν εἰς ὅλην τὴν Γαλιλαίαν καὶ τὰ δαιμόνια ἐκβάλλων. 
Mk 1:40	Καὶ ἔρχεται πρὸς αὐτὸν λεπρὸς παρακαλῶν αὐτὸν καὶ ⸀γονυπετῶν λέγων αὐτῷ ὅτι Ἐὰν θέλῃς δύνασαί με καθαρίσαι. 
Mk 1:41	⸀καὶ ⸀ὀργισθεὶς ἐκτείνας τὴν χεῖρα ⸂αὐτοῦ ἥψατο⸃ καὶ λέγει αὐτῷ· Θέλω, καθαρίσθητι· 
Mk 1:42	καὶ ⸀εὐθὺς ἀπῆλθεν ἀπ’ αὐτοῦ ἡ λέπρα, καὶ ἐκαθαρίσθη. 
Mk 1:43	καὶ ἐμβριμησάμενος αὐτῷ ⸀εὐθὺς ἐξέβαλεν αὐτόν, 
Mk 1:44	καὶ λέγει αὐτῷ· Ὅρα μηδενὶ μηδὲν εἴπῃς, ἀλλὰ ὕπαγε σεαυτὸν δεῖξον τῷ ἱερεῖ καὶ προσένεγκε περὶ τοῦ καθαρισμοῦ σου ἃ προσέταξεν Μωϋσῆς εἰς μαρτύριον αὐτοῖς. 
Mk 1:45	ὁ δὲ ἐξελθὼν ἤρξατο κηρύσσειν πολλὰ καὶ διαφημίζειν τὸν λόγον, ὥστε μηκέτι αὐτὸν δύνασθαι φανερῶς εἰς πόλιν εἰσελθεῖν, ἀλλὰ ἔξω ⸀ἐπ’ ἐρήμοις τόποις ἦν· καὶ ἤρχοντο πρὸς αὐτὸν ⸀πάντοθεν. 
Mk 2:1	Καὶ ⸀εἰσελθὼν πάλιν εἰς Καφαρναοὺμ δι’ ⸀ἡμερῶν ἠκούσθη ὅτι ⸂ἐν οἴκῳ⸃ ἐστίν· 
Mk 2:2	⸀καὶ συνήχθησαν πολλοὶ ὥστε μηκέτι χωρεῖν μηδὲ τὰ πρὸς τὴν θύραν, καὶ ἐλάλει αὐτοῖς τὸν λόγον. 
Mk 2:3	καὶ ἔρχονται ⸂φέροντες πρὸς αὐτὸν παραλυτικὸν⸃ αἰρόμενον ὑπὸ τεσσάρων. 
Mk 2:4	καὶ μὴ δυνάμενοι ⸀προσενέγκαι αὐτῷ διὰ τὸν ὄχλον ἀπεστέγασαν τὴν στέγην ὅπου ἦν, καὶ ἐξορύξαντες χαλῶσι τὸν κράβαττον ⸀ὅπου ὁ παραλυτικὸς κατέκειτο. 
Mk 2:5	⸂καὶ ἰδὼν⸃ ὁ Ἰησοῦς τὴν πίστιν αὐτῶν λέγει τῷ παραλυτικῷ· Τέκνον, ⸂ἀφίενταί σου⸃ αἱ ⸀ἁμαρτίαι. 
Mk 2:6	ἦσαν δέ τινες τῶν γραμματέων ἐκεῖ καθήμενοι καὶ διαλογιζόμενοι ἐν ταῖς καρδίαις αὐτῶν· 
Mk 2:7	Τί οὗτος οὕτως λαλεῖ; ⸀βλασφημεῖ· τίς δύναται ἀφιέναι ἁμαρτίας εἰ μὴ εἷς ὁ θεός; 
Mk 2:8	καὶ ⸀εὐθὺς ἐπιγνοὺς ὁ Ἰησοῦς τῷ πνεύματι αὐτοῦ ὅτι ⸀οὕτως διαλογίζονται ἐν ἑαυτοῖς ⸀λέγει αὐτοῖς· Τί ταῦτα διαλογίζεσθε ἐν ταῖς καρδίαις ὑμῶν; 
Mk 2:9	τί ἐστιν εὐκοπώτερον, εἰπεῖν τῷ παραλυτικῷ· ⸀Ἀφίενταί σου αἱ ἁμαρτίαι, ἢ εἰπεῖν· ⸀Ἔγειρε καὶ ἆρον ⸂τὸν κράβαττόν σου⸃ καὶ περιπάτει; 
Mk 2:10	ἵνα δὲ εἰδῆτε ὅτι ἐξουσίαν ἔχει ὁ υἱὸς τοῦ ἀνθρώπου ⸂ἐπὶ τῆς γῆς ἀφιέναι ἁμαρτίας⸃— λέγει τῷ παραλυτικῷ· 
Mk 2:11	Σοὶ λέγω, ⸀ἔγειρε ἆρον τὸν κράβαττόν σου καὶ ὕπαγε εἰς τὸν οἶκόν σου. 
Mk 2:12	καὶ ἠγέρθη ⸂καὶ εὐθὺς⸃ ἄρας τὸν κράβαττον ἐξῆλθεν ⸀ἔμπροσθεν πάντων, ὥστε ἐξίστασθαι πάντας καὶ δοξάζειν τὸν θεὸν λέγοντας ὅτι ⸂Οὕτως οὐδέποτε⸃ εἴδομεν. 
Mk 2:13	Καὶ ἐξῆλθεν πάλιν παρὰ τὴν θάλασσαν· καὶ πᾶς ὁ ὄχλος ἤρχετο πρὸς αὐτόν, καὶ ἐδίδασκεν αὐτούς. 
Mk 2:14	καὶ παράγων εἶδεν Λευὶν τὸν τοῦ Ἁλφαίου καθήμενον ἐπὶ τὸ τελώνιον, καὶ λέγει αὐτῷ· Ἀκολούθει μοι. καὶ ἀναστὰς ἠκολούθησεν αὐτῷ. 
Mk 2:15	Καὶ ⸀γίνεται κατακεῖσθαι αὐτὸν ἐν τῇ οἰκίᾳ αὐτοῦ, καὶ πολλοὶ τελῶναι καὶ ἁμαρτωλοὶ συνανέκειντο τῷ Ἰησοῦ καὶ τοῖς μαθηταῖς αὐτοῦ, ἦσαν γὰρ πολλοὶ καὶ ⸀ἠκολούθουν αὐτῷ. 
Mk 2:16	καὶ οἱ γραμματεῖς ⸂τῶν Φαρισαίων⸃ ⸀ἰδόντες ⸂ὅτι ἐσθίει⸃ μετὰ τῶν ⸂ἁμαρτωλῶν καὶ τελωνῶν⸃ ἔλεγον τοῖς μαθηταῖς αὐτοῦ· ⸀Ὅτι μετὰ τῶν ⸂τελωνῶν καὶ ἁμαρτωλῶν⸃ ⸀ἐσθίει; 
Mk 2:17	καὶ ἀκούσας ὁ Ἰησοῦς λέγει αὐτοῖς ⸀ὅτι Οὐ χρείαν ἔχουσιν οἱ ἰσχύοντες ἰατροῦ ἀλλ’ οἱ κακῶς ἔχοντες· οὐκ ἦλθον καλέσαι δικαίους ἀλλὰ ⸀ἁμαρτωλούς. 
Mk 2:18	Καὶ ἦσαν οἱ μαθηταὶ Ἰωάννου καὶ οἱ ⸀Φαρισαῖοι νηστεύοντες. καὶ ἔρχονται καὶ λέγουσιν αὐτῷ· Διὰ τί οἱ μαθηταὶ Ἰωάννου καὶ οἱ ⸀μαθηταὶ τῶν Φαρισαίων νηστεύουσιν, οἱ δὲ σοὶ μαθηταὶ οὐ νηστεύουσιν; 
Mk 2:19	καὶ εἶπεν αὐτοῖς ὁ Ἰησοῦς· Μὴ δύνανται οἱ υἱοὶ τοῦ νυμφῶνος ἐν ᾧ ὁ νυμφίος μετ’ αὐτῶν ἐστιν νηστεύειν; ὅσον χρόνον ⸂ἔχουσιν τὸν νυμφίον μετ’ αὐτῶν⸃ οὐ δύνανται νηστεύειν· 
Mk 2:20	ἐλεύσονται δὲ ἡμέραι ὅταν ἀπαρθῇ ἀπ’ αὐτῶν ὁ νυμφίος, καὶ τότε νηστεύσουσιν ἐν ⸂ἐκείνῃ τῇ ἡμέρᾳ⸃. 
Mk 2:21	⸀Οὐδεὶς ἐπίβλημα ῥάκους ἀγνάφου ἐπιράπτει ἐπὶ ⸂ἱμάτιον παλαιόν⸃· εἰ δὲ μή, αἴρει τὸ πλήρωμα ⸀ἀπ’ αὐτοῦ τὸ καινὸν τοῦ παλαιοῦ, καὶ χεῖρον σχίσμα γίνεται. 
Mk 2:22	καὶ οὐδεὶς βάλλει οἶνον νέον εἰς ἀσκοὺς παλαιούς· εἰ δὲ μή, ⸂ῥήξει ὁ οἶνος⸃ τοὺς ἀσκούς, καὶ ὁ οἶνος ⸂ἀπόλλυται καὶ οἱ ἀσκοί⸃. ἀλλὰ οἶνον νέον εἰς ἀσκοὺς ⸀καινούς. 
Mk 2:23	Καὶ ἐγένετο ⸂αὐτὸν ἐν τοῖς σάββασιν παραπορεύεσθαι⸃ διὰ τῶν σπορίμων, καὶ ⸂οἱ μαθηταὶ αὐτοῦ ἤρξαντο⸃ ὁδὸν ποιεῖν τίλλοντες τοὺς στάχυας. 
Mk 2:24	καὶ οἱ Φαρισαῖοι ἔλεγον αὐτῷ· Ἴδε τί ⸀ποιοῦσιν τοῖς σάββασιν ὃ οὐκ ἔξεστιν; 
Mk 2:25	καὶ ⸀λέγει αὐτοῖς· Οὐδέποτε ἀνέγνωτε τί ἐποίησεν Δαυὶδ ὅτε χρείαν ἔσχεν καὶ ἐπείνασεν αὐτὸς καὶ οἱ μετ’ αὐτοῦ; 
Mk 2:26	⸀πῶς εἰσῆλθεν εἰς τὸν οἶκον τοῦ θεοῦ ἐπὶ Ἀβιαθὰρ ἀρχιερέως καὶ τοὺς ἄρτους τῆς προθέσεως ἔφαγεν, οὓς οὐκ ἔξεστιν φαγεῖν εἰ μὴ ⸂τοὺς ἱερεῖς⸃, καὶ ἔδωκεν καὶ τοῖς σὺν αὐτῷ οὖσιν; 
Mk 2:27	καὶ ἔλεγεν αὐτοῖς· Τὸ σάββατον διὰ τὸν ἄνθρωπον ἐγένετο ⸀καὶ οὐχ ὁ ἄνθρωπος διὰ τὸ σάββατον· 
Mk 2:28	ὥστε κύριός ἐστιν ὁ υἱὸς τοῦ ἀνθρώπου καὶ τοῦ σαββάτου. 
Mk 3:1	Καὶ εἰσῆλθεν πάλιν ⸀εἰς συναγωγήν, καὶ ἦν ἐκεῖ ἄνθρωπος ἐξηραμμένην ἔχων τὴν χεῖρα. 
Mk 3:2	καὶ παρετήρουν αὐτὸν εἰ τοῖς σάββασιν θεραπεύσει αὐτόν, ἵνα ⸀κατηγορήσωσιν αὐτοῦ. 
Mk 3:3	καὶ λέγει τῷ ἀνθρώπῳ τῷ ⸂τὴν χεῖρα ἔχοντι ξηράν⸃· ⸀Ἔγειρε εἰς τὸ μέσον. 
Mk 3:4	καὶ λέγει αὐτοῖς· Ἔξεστιν τοῖς σάββασιν ⸀ἀγαθοποιῆσαι ἢ κακοποιῆσαι, ψυχὴν σῶσαι ἢ ἀποκτεῖναι; οἱ δὲ ἐσιώπων. 
Mk 3:5	καὶ περιβλεψάμενος αὐτοὺς μετ’ ὀργῆς, συλλυπούμενος ἐπὶ τῇ πωρώσει τῆς καρδίας αὐτῶν, λέγει τῷ ἀνθρώπῳ· Ἔκτεινον τὴν ⸀χεῖρα· καὶ ἐξέτεινεν, καὶ ἀπεκατεστάθη ἡ χεὶρ ⸀αὐτοῦ. 
Mk 3:6	καὶ ἐξελθόντες οἱ Φαρισαῖοι ⸀εὐθὺς μετὰ τῶν Ἡρῳδιανῶν συμβούλιον ⸀ἐδίδουν κατ’ αὐτοῦ ὅπως αὐτὸν ἀπολέσωσιν. 
Mk 3:7	Καὶ ὁ Ἰησοῦς ⸂μετὰ τῶν μαθητῶν αὐτοῦ ἀνεχώρησεν⸃ πρὸς τὴν θάλασσαν· καὶ πολὺ πλῆθος ἀπὸ τῆς Γαλιλαίας ⸀ἠκολούθησεν, καὶ ἀπὸ τῆς Ἰουδαίας 
Mk 3:8	καὶ ἀπὸ Ἱεροσολύμων καὶ ἀπὸ τῆς Ἰδουμαίας ⸀καὶ πέραν τοῦ Ἰορδάνου ⸁καὶ περὶ Τύρον καὶ Σιδῶνα, πλῆθος πολύ, ⸀ἀκούοντες ὅσα ⸀ἐποίει ἦλθον πρὸς αὐτόν. 
Mk 3:9	καὶ εἶπεν τοῖς μαθηταῖς αὐτοῦ ἵνα πλοιάριον προσκαρτερῇ αὐτῷ διὰ τὸν ὄχλον ἵνα μὴ θλίβωσιν αὐτόν· 
Mk 3:10	πολλοὺς γὰρ ἐθεράπευσεν, ὥστε ἐπιπίπτειν αὐτῷ ἵνα αὐτοῦ ἅψωνται ὅσοι εἶχον μάστιγας. 
Mk 3:11	καὶ τὰ πνεύματα τὰ ἀκάθαρτα, ὅταν αὐτὸν ⸂ἐθεώρουν, προσέπιπτον⸃ αὐτῷ καὶ ⸀ἔκραζον ⸀λέγοντα ὅτι Σὺ εἶ ὁ υἱὸς τοῦ θεοῦ. 
Mk 3:12	καὶ πολλὰ ἐπετίμα αὐτοῖς ἵνα μὴ ⸂αὐτὸν φανερὸν⸃ ⸀ποιήσωσιν. 
Mk 3:13	Καὶ ἀναβαίνει εἰς τὸ ὄρος καὶ προσκαλεῖται οὓς ἤθελεν αὐτός, καὶ ἀπῆλθον πρὸς αὐτόν. 
Mk 3:14	καὶ ἐποίησεν ⸀δώδεκα, ἵνα ὦσιν μετ’ αὐτοῦ καὶ ἵνα ἀποστέλλῃ αὐτοὺς κηρύσσειν 
Mk 3:15	καὶ ἔχειν ⸀ἐξουσίαν ἐκβάλλειν τὰ δαιμόνια· 
Mk 3:16	καὶ ⸂ἐποίησεν τοὺς δώδεκα, καὶ⸃ ἐπέθηκεν ⸂ὄνομα τῷ Σίμωνι⸃ Πέτρον, 
Mk 3:17	καὶ Ἰάκωβον τὸν τοῦ Ζεβεδαίου καὶ Ἰωάννην τὸν ἀδελφὸν τοῦ Ἰακώβου (καὶ ἐπέθηκεν αὐτοῖς ⸀ὀνόματα Βοανηργές, ὅ ἐστιν Υἱοὶ Βροντῆς), 
Mk 3:18	καὶ Ἀνδρέαν καὶ Φίλιππον καὶ Βαρθολομαῖον καὶ Μαθθαῖον καὶ Θωμᾶν καὶ Ἰάκωβον τὸν τοῦ Ἁλφαίου καὶ Θαδδαῖον καὶ Σίμωνα τὸν ⸀Καναναῖον 
Mk 3:19	καὶ Ἰούδαν ⸀Ἰσκαριώθ, ὃς καὶ παρέδωκεν αὐτόν. 
Mk 3:20	Καὶ ⸀ἔρχεται εἰς οἶκον· καὶ συνέρχεται πάλιν ⸀ὁ ὄχλος, ὥστε μὴ δύνασθαι αὐτοὺς ⸀μηδὲ ἄρτον φαγεῖν. 
Mk 3:21	καὶ ἀκούσαντες οἱ παρ’ αὐτοῦ ἐξῆλθον κρατῆσαι αὐτόν, ἔλεγον γὰρ ὅτι ἐξέστη. 
Mk 3:22	καὶ οἱ γραμματεῖς οἱ ἀπὸ Ἱεροσολύμων καταβάντες ἔλεγον ὅτι Βεελζεβοὺλ ἔχει καὶ ὅτι ἐν τῷ ἄρχοντι τῶν δαιμονίων ἐκβάλλει τὰ δαιμόνια. 
Mk 3:23	καὶ προσκαλεσάμενος αὐτοὺς ἐν παραβολαῖς ἔλεγεν αὐτοῖς· Πῶς δύναται Σατανᾶς Σατανᾶν ἐκβάλλειν; 
Mk 3:24	καὶ ἐὰν βασιλεία ἐφ’ ἑαυτὴν μερισθῇ, οὐ δύναται σταθῆναι ἡ βασιλεία ἐκείνη· 
Mk 3:25	καὶ ἐὰν οἰκία ἐφ’ ἑαυτὴν μερισθῇ, οὐ ⸀δυνήσεται ⸂ἡ οἰκία ἐκείνη σταθῆναι⸃· 
Mk 3:26	καὶ εἰ ὁ Σατανᾶς ἀνέστη ἐφ’ ἑαυτὸν καὶ ⸀ἐμερίσθη, οὐ δύναται ⸀στῆναι ἀλλὰ τέλος ἔχει. 
Mk 3:27	⸂ἀλλ’ οὐδεὶς δύναται⸃ ⸂εἰς τὴν οἰκίαν τοῦ ἰσχυροῦ εἰσελθὼν τὰ σκεύη⸃ αὐτοῦ διαρπάσαι ἐὰν μὴ πρῶτον τὸν ἰσχυρὸν δήσῃ, καὶ τότε τὴν οἰκίαν αὐτοῦ ⸀διαρπάσει. 
Mk 3:28	Ἀμὴν λέγω ὑμῖν ὅτι πάντα ἀφεθήσεται ⸂τοῖς υἱοῖς τῶν ἀνθρώπων, τὰ ἁμαρτήματα⸃ καὶ ⸂αἱ βλασφημίαι ὅσα ἐὰν⸃ βλασφημήσωσιν· 
Mk 3:29	ὃς δ’ ἂν βλασφημήσῃ εἰς τὸ πνεῦμα τὸ ἅγιον, οὐκ ἔχει ἄφεσιν εἰς τὸν αἰῶνα, ἀλλὰ ἔνοχός ἐστιν αἰωνίου ⸀ἁμαρτήματος. 
Mk 3:30	ὅτι ἔλεγον· Πνεῦμα ἀκάθαρτον ἔχει. 
Mk 3:31	⸂Καὶ ἔρχονται⸃ ⸂ἡ μήτηρ αὐτοῦ καὶ οἱ ἀδελφοὶ αὐτοῦ⸃ καὶ ἔξω ⸀στήκοντες ἀπέστειλαν πρὸς αὐτὸν ⸀καλοῦντες αὐτόν. 
Mk 3:32	καὶ ἐκάθητο ⸂περὶ αὐτὸν ὄχλος⸃, ⸂καὶ λέγουσιν⸃ αὐτῷ· Ἰδοὺ ἡ μήτηρ σου καὶ οἱ ἀδελφοί ⸀σου ἔξω ζητοῦσίν σε. 
Mk 3:33	καὶ ⸂ἀποκριθεὶς αὐτοῖς λέγει⸃· Τίς ἐστιν ἡ μήτηρ μου ⸀ἢ οἱ ἀδελφοί ⸀μου; 
Mk 3:34	καὶ περιβλεψάμενος ⸂τοὺς περὶ αὐτὸν κύκλῳ⸃ καθημένους λέγει· Ἴδε ἡ μήτηρ μου καὶ οἱ ἀδελφοί μου· 
Mk 3:35	ὃς ⸀γὰρ ἂν ποιήσῃ τὸ θέλημα τοῦ θεοῦ, οὗτος ἀδελφός μου καὶ ⸀ἀδελφὴ καὶ μήτηρ ἐστίν. 
Mk 4:1	Καὶ πάλιν ἤρξατο διδάσκειν παρὰ τὴν θάλασσαν. καὶ ⸀συνάγεται πρὸς αὐτὸν ὄχλος ⸀πλεῖστος, ὥστε αὐτὸν ⸂εἰς πλοῖον ἐμβάντα⸃ καθῆσθαι ἐν τῇ θαλάσσῃ, καὶ πᾶς ὁ ὄχλος πρὸς τὴν θάλασσαν ἐπὶ τῆς γῆς ⸀ἦσαν. 
Mk 4:2	καὶ ἐδίδασκεν αὐτοὺς ἐν παραβολαῖς πολλά καὶ ἔλεγεν αὐτοῖς ἐν τῇ διδαχῇ αὐτοῦ· 
Mk 4:3	Ἀκούετε. ἰδοὺ ἐξῆλθεν ὁ ⸀σπείρων σπεῖραι. 
Mk 4:4	καὶ ἐγένετο ἐν τῷ σπείρειν ὃ μὲν ἔπεσεν παρὰ τὴν ὁδόν, καὶ ἦλθεν τὰ πετεινὰ καὶ κατέφαγεν αὐτό. 
Mk 4:5	⸂καὶ ἄλλο⸃ ἔπεσεν ἐπὶ τὸ πετρῶδες ⸀ὅπου οὐκ εἶχεν γῆν πολλήν, καὶ ⸀εὐθὺς ἐξανέτειλεν διὰ τὸ μὴ ἔχειν βάθος γῆς· 
Mk 4:6	⸂καὶ ὅτε ἀνέτειλεν ὁ ἥλιος⸃ ⸀ἐκαυματίσθη καὶ διὰ τὸ μὴ ἔχειν ῥίζαν ἐξηράνθη. 
Mk 4:7	καὶ ἄλλο ἔπεσεν εἰς τὰς ἀκάνθας, καὶ ἀνέβησαν αἱ ἄκανθαι καὶ συνέπνιξαν αὐτό, καὶ καρπὸν οὐκ ἔδωκεν. 
