ΠΡΑΞΕΙΣ ΑΠΟΣΤΟΛΩΝ 
Ac 1:1	Τὸν μὲν πρῶτον λόγον ἐποιησάμην περὶ πάντων, ὦ Θεόφιλε, ὧν ἤρξατο ⸀ὁ Ἰησοῦς ποιεῖν τε καὶ διδάσκειν 
Ac 2:15	οὐ γὰρ ὡς ὑμεῖς ὑπολαμβάνετε οὗτοι μεθύουσιν, ἔστιν γὰρ ὥρα τρίτη τῆς ἡμέρας, 
Ac 2:16	ἀλλὰ τοῦτό ἐστιν τὸ εἰρημένον διὰ τοῦ προφήτου Ἰωήλ· 
Ac 2:17	Καὶ ἔσται ἐν ταῖς ἐσχάταις ἡμέραις, λέγει ὁ θεός, ἐκχεῶ ἀπὸ τοῦ πνεύματός μου ἐπὶ πᾶσαν σάρκα, καὶ προφητεύσουσιν οἱ υἱοὶ ὑμῶν καὶ αἱ θυγατέρες ὑμῶν, καὶ οἱ νεανίσκοι ὑμῶν ὁράσεις ὄψονται, καὶ οἱ πρεσβύτεροι ὑμῶν ⸀ἐνυπνίοις ἐνυπνιασθήσονται· 
Ac 2:18	καί γε ἐπὶ τοὺς δούλους μου καὶ ἐπὶ τὰς δούλας μου ἐν ταῖς ἡμέραις ἐκείναις ἐκχεῶ ἀπὸ τοῦ πνεύματός μου, καὶ προφητεύσουσιν. 
Ac 2:19	καὶ δώσω τέρατα ἐν τῷ οὐρανῷ ἄνω καὶ σημεῖα ἐπὶ τῆς γῆς κάτω, αἷμα καὶ πῦρ καὶ ἀτμίδα καπνοῦ· 
Ac 2:20	ὁ ἥλιος μεταστραφήσεται εἰς σκότος καὶ ἡ σελήνη εἰς αἷμα πρὶν ⸀ἢ ⸀ἐλθεῖν ἡμέραν κυρίου τὴν μεγάλην καὶ ἐπιφανῆ. 
Ac 2:21	καὶ ἔσται πᾶς ὃς ⸀ἐὰν ἐπικαλέσηται τὸ ὄνομα κυρίου σωθήσεται. 
Ac 2:22	Ἄνδρες Ἰσραηλῖται, ἀκούσατε τοὺς λόγους τούτους. Ἰησοῦν τὸν Ναζωραῖον, ἄνδρα ⸂ἀποδεδειγμένον ἀπὸ τοῦ θεοῦ⸃ εἰς ὑμᾶς δυνάμεσι καὶ τέρασι καὶ σημείοις οἷς ἐποίησεν δι’ αὐτοῦ ὁ θεὸς ἐν μέσῳ ὑμῶν, ⸀καθὼς αὐτοὶ οἴδατε, 
Ac 2:23	τοῦτον τῇ ὡρισμένῃ βουλῇ καὶ προγνώσει τοῦ θεοῦ ⸀ἔκδοτον διὰ ⸀χειρὸς ἀνόμων προσπήξαντες ἀνείλατε, 
Ac 2:24	ὃν ὁ θεὸς ἀνέστησεν λύσας τὰς ὠδῖνας τοῦ θανάτου, καθότι οὐκ ἦν δυνατὸν κρατεῖσθαι αὐτὸν ὑπ’ αὐτοῦ· 
Ac 2:25	Δαυὶδ γὰρ λέγει εἰς αὐτόν· Προορώμην τὸν κύριον ἐνώπιόν μου διὰ παντός, ὅτι ἐκ δεξιῶν μού ἐστιν ἵνα μὴ σαλευθῶ. 
Ac 2:26	διὰ τοῦτο ηὐφράνθη ⸂ἡ καρδία μου⸃ καὶ ἠγαλλιάσατο ἡ γλῶσσά μου, ἔτι δὲ καὶ ἡ σάρξ μου κατασκηνώσει ἐπ’ ἐλπίδι· 
Ac 2:27	ὅτι οὐκ ἐγκαταλείψεις τὴν ψυχήν μου εἰς ⸀ᾅδην, οὐδὲ δώσεις τὸν ὅσιόν σου ἰδεῖν διαφθοράν. 
Ac 2:28	ἐγνώρισάς μοι ὁδοὺς ζωῆς, πληρώσεις με εὐφροσύνης μετὰ τοῦ προσώπου σου. 
Ac 2:29	Ἄνδρες ἀδελφοί, ἐξὸν εἰπεῖν μετὰ παρρησίας πρὸς ὑμᾶς περὶ τοῦ πατριάρχου Δαυὶδ, ὅτι καὶ ἐτελεύτησεν καὶ ἐτάφη, καὶ τὸ μνῆμα αὐτοῦ ἔστιν ἐν ἡμῖν ἄχρι τῆς ἡμέρας ταύτης· 
Ac 2:30	προφήτης οὖν ὑπάρχων, καὶ εἰδὼς ὅτι ὅρκῳ ὤμοσεν αὐτῷ ὁ θεὸς ἐκ καρποῦ τῆς ὀσφύος ⸀αὐτοῦ καθίσαι ἐπὶ ⸂τὸν θρόνον⸃ αὐτοῦ, 
Ac 2:31	προϊδὼν ἐλάλησεν περὶ τῆς ἀναστάσεως τοῦ χριστοῦ ὅτι ⸂οὔτε ἐγκατελείφθη⸃ εἰς ⸀ᾅδην ⸀οὔτε ἡ σὰρξ αὐτοῦ εἶδεν διαφθοράν. 
Ac 2:32	τοῦτον τὸν Ἰησοῦν ἀνέστησεν ὁ θεός, οὗ πάντες ἡμεῖς ἐσμεν μάρτυρες. 
Ac 2:33	τῇ δεξιᾷ οὖν τοῦ θεοῦ ὑψωθεὶς τήν τε ἐπαγγελίαν τοῦ ⸂πνεύματος τοῦ ἁγίου⸃ λαβὼν παρὰ τοῦ πατρὸς ἐξέχεεν τοῦτο ⸀ὃ ⸀ὑμεῖς βλέπετε καὶ ἀκούετε. 
Ac 2:34	οὐ γὰρ Δαυὶδ ἀνέβη εἰς τοὺς οὐρανούς, λέγει δὲ αὐτός· Εἶπεν ⸀ὁ κύριος τῷ κυρίῳ μου· Κάθου ἐκ δεξιῶν μου, 
Ac 2:35	ἕως ἂν θῶ τοὺς ἐχθρούς σου ὑποπόδιον τῶν ποδῶν σου. 
Ac 2:36	ἀσφαλῶς οὖν γινωσκέτω πᾶς οἶκος Ἰσραὴλ ὅτι καὶ κύριον ⸂αὐτὸν καὶ χριστὸν⸃ ⸂ἐποίησεν ὁ θεός⸃, τοῦτον τὸν Ἰησοῦν ὃν ὑμεῖς ἐσταυρώσατε. 
Ac 2:37	Ἀκούσαντες δὲ κατενύγησαν ⸂τὴν καρδίαν⸃, εἶπόν τε πρὸς τὸν Πέτρον καὶ τοὺς λοιποὺς ἀποστόλους· Τί ⸀ποιήσωμεν, ἄνδρες ἀδελφοί; 
Ac 2:38	Πέτρος δὲ ⸂πρὸς αὐτούς· Μετανοήσατε⸃, καὶ βαπτισθήτω ἕκαστος ὑμῶν ⸀ἐπὶ τῷ ὀνόματι Ἰησοῦ Χριστοῦ εἰς ἄφεσιν ⸀τῶν ἁμαρτιῶν ⸀ὑμῶν, καὶ λήμψεσθε τὴν δωρεὰν τοῦ ἁγίου πνεύματος· 
Ac 2:39	ὑμῖν γάρ ἐστιν ἡ ἐπαγγελία καὶ τοῖς τέκνοις ὑμῶν καὶ πᾶσι τοῖς εἰς μακρὰν ὅσους ἂν προσκαλέσηται κύριος ὁ θεὸς ἡμῶν. 
Ac 2:40	ἑτέροις τε λόγοις πλείοσιν διεμαρτύρατο, καὶ παρεκάλει ⸀αὐτοὺς λέγων· Σώθητε ἀπὸ τῆς γενεᾶς τῆς σκολιᾶς ταύτης. 
Ac 2:41	οἱ μὲν ⸀οὖν ἀποδεξάμενοι τὸν λόγον αὐτοῦ ἐβαπτίσθησαν, καὶ προσετέθησαν ⸀ἐν τῇ ἡμέρᾳ ἐκείνῃ ψυχαὶ ὡσεὶ τρισχίλιαι. 
Ac 2:42	ἦσαν δὲ προσκαρτεροῦντες τῇ διδαχῇ τῶν ἀποστόλων καὶ τῇ ⸀κοινωνίᾳ, τῇ κλάσει τοῦ ἄρτου καὶ ταῖς προσευχαῖς. 
Ac 2:43	⸀Ἐγίνετο δὲ πάσῃ ψυχῇ φόβος, πολλά ⸀τε τέρατα καὶ σημεῖα διὰ τῶν ἀποστόλων ἐγίνετο. 
Ac 2:44	πάντες δὲ οἱ ⸀πιστεύοντες ⸂ἦσαν ἐπὶ τὸ αὐτὸ καὶ⸃ εἶχον ἅπαντα κοινά, 
Ac 2:45	καὶ τὰ κτήματα καὶ τὰς ὑπάρξεις ἐπίπρασκον καὶ διεμέριζον αὐτὰ πᾶσιν καθότι ἄν τις χρείαν εἶχεν· 
Ac 2:46	καθ’ ἡμέραν τε προσκαρτεροῦντες ὁμοθυμαδὸν ἐν τῷ ἱερῷ, κλῶντές τε κατ’ οἶκον ἄρτον, μετελάμβανον τροφῆς ἐν ἀγαλλιάσει καὶ ἀφελότητι καρδίας, 
Ac 2:47	αἰνοῦντες τὸν θεὸν καὶ ἔχοντες χάριν πρὸς ὅλον τὸν λαόν. ὁ δὲ κύριος προσετίθει τοὺς σῳζομένους καθ’ ἡμέραν ⸂ἐπὶ τὸ αὐτό⸃. 
Ac 3:1	⸂Πέτρος δὲ⸃ καὶ Ἰωάννης ἀνέβαινον εἰς τὸ ἱερὸν ἐπὶ τὴν ὥραν τῆς προσευχῆς τὴν ἐνάτην, 
Ac 3:2	καί τις ἀνὴρ χωλὸς ἐκ κοιλίας μητρὸς αὐτοῦ ὑπάρχων ἐβαστάζετο, ὃν ἐτίθουν καθ’ ἡμέραν πρὸς τὴν θύραν τοῦ ἱεροῦ τὴν λεγομένην Ὡραίαν τοῦ αἰτεῖν ἐλεημοσύνην παρὰ τῶν εἰσπορευομένων εἰς τὸ ἱερόν, 
Ac 3:3	ὃς ἰδὼν Πέτρον καὶ Ἰωάννην μέλλοντας εἰσιέναι εἰς τὸ ἱερὸν ἠρώτα ἐλεημοσύνην ⸀λαβεῖν. 
Ac 3:4	ἀτενίσας δὲ Πέτρος εἰς αὐτὸν σὺν τῷ Ἰωάννῃ εἶπεν· Βλέψον εἰς ἡμᾶς. 
Ac 3:5	ὁ δὲ ἐπεῖχεν αὐτοῖς προσδοκῶν τι παρ’ αὐτῶν λαβεῖν. 
Ac 3:6	εἶπεν δὲ Πέτρος· Ἀργύριον καὶ χρυσίον οὐχ ὑπάρχει μοι, ὃ δὲ ἔχω τοῦτό σοι δίδωμι· ἐν τῷ ὀνόματι Ἰησοῦ Χριστοῦ τοῦ Ναζωραίου ⸀περιπάτει. 
Ac 3:7	καὶ πιάσας αὐτὸν τῆς δεξιᾶς χειρὸς ἤγειρεν ⸀αὐτόν· παραχρῆμα δὲ ἐστερεώθησαν ⸂αἱ βάσεις αὐτοῦ⸃ καὶ τὰ ⸀σφυδρά, 
Ac 3:8	καὶ ἐξαλλόμενος ἔστη καὶ περιεπάτει, καὶ εἰσῆλθεν σὺν αὐτοῖς εἰς τὸ ἱερὸν περιπατῶν καὶ ἁλλόμενος καὶ αἰνῶν τὸν θεόν. 
Ac 3:9	καὶ εἶδεν ⸂πᾶς ὁ λαὸς αὐτὸν⸃ περιπατοῦντα καὶ αἰνοῦντα τὸν θεόν, 
Ac 3:10	ἐπεγίνωσκον ⸀δὲ αὐτὸν ὅτι ⸀οὗτος ἦν ὁ πρὸς τὴν ἐλεημοσύνην καθήμενος ἐπὶ τῇ Ὡραίᾳ Πύλῃ τοῦ ἱεροῦ, καὶ ἐπλήσθησαν θάμβους καὶ ἐκστάσεως ἐπὶ τῷ συμβεβηκότι αὐτῷ. 
Ac 3:11	Κρατοῦντος δὲ ⸀αὐτοῦ τὸν Πέτρον καὶ ⸀τὸν Ἰωάννην συνέδραμεν ⸂πᾶς ὁ λαὸς πρὸς αὐτοὺς⸃ ἐπὶ τῇ στοᾷ τῇ καλουμένῃ Σολομῶντος ἔκθαμβοι. 
Ac 3:12	ἰδὼν δὲ ⸀ὁ Πέτρος ἀπεκρίνατο πρὸς τὸν λαόν· Ἄνδρες Ἰσραηλῖται, τί θαυμάζετε ἐπὶ τούτῳ, ἢ ἡμῖν τί ἀτενίζετε ὡς ἰδίᾳ δυνάμει ἢ εὐσεβείᾳ πεποιηκόσιν τοῦ περιπατεῖν αὐτόν; 
Ac 3:13	ὁ θεὸς Ἀβραὰμ καὶ ⸂Ἰσαὰκ καὶ⸃ Ἰακώβ, ὁ θεὸς τῶν πατέρων ἡμῶν, ἐδόξασεν τὸν παῖδα αὐτοῦ Ἰησοῦν, ὃν ὑμεῖς ⸀μὲν παρεδώκατε καὶ ⸀ἠρνήσασθε κατὰ πρόσωπον Πιλάτου, κρίναντος ἐκείνου ἀπολύειν· 
Ac 3:14	ὑμεῖς δὲ τὸν ἅγιον καὶ δίκαιον ἠρνήσασθε καὶ ᾐτήσασθε ἄνδρα φονέα χαρισθῆναι ὑμῖν, 
Ac 3:15	τὸν δὲ ἀρχηγὸν τῆς ζωῆς ἀπεκτείνατε, ὃν ὁ θεὸς ἤγειρεν ἐκ νεκρῶν, οὗ ἡμεῖς μάρτυρές ἐσμεν. 
Ac 3:16	καὶ ⸀ἐπὶ τῇ πίστει τοῦ ὀνόματος αὐτοῦ τοῦτον ὃν θεωρεῖτε καὶ οἴδατε ἐστερέωσεν τὸ ὄνομα αὐτοῦ, καὶ ἡ πίστις ἡ δι’ αὐτοῦ ἔδωκεν αὐτῷ τὴν ὁλοκληρίαν ταύτην ἀπέναντι πάντων ὑμῶν. 
Ac 3:17	Καὶ νῦν, ἀδελφοί, οἶδα ὅτι κατὰ ἄγνοιαν ἐπράξατε, ὥσπερ καὶ οἱ ἄρχοντες ὑμῶν· 
Ac 3:18	ὁ δὲ θεὸς ἃ προκατήγγειλεν διὰ στόματος πάντων τῶν ⸀προφητῶν παθεῖν τὸν χριστὸν ⸀αὐτοῦ ἐπλήρωσεν οὕτως. 
Ac 3:19	μετανοήσατε οὖν καὶ ἐπιστρέψατε ⸀πρὸς τὸ ἐξαλειφθῆναι ὑμῶν τὰς ἁμαρτίας, 
Ac 3:20	ὅπως ἂν ἔλθωσιν καιροὶ ἀναψύξεως ἀπὸ προσώπου τοῦ κυρίου καὶ ἀποστείλῃ τὸν προκεχειρισμένον ὑμῖν χριστὸν Ἰησοῦν, 
Ac 3:21	ὃν δεῖ οὐρανὸν μὲν δέξασθαι ἄχρι χρόνων ἀποκαταστάσεως πάντων ὧν ἐλάλησεν ὁ θεὸς διὰ ⸀στόματος τῶν ἁγίων ⸂ἀπ’ αἰῶνος αὐτοῦ προφητῶν⸃. 
Ac 3:22	Μωϋσῆς ⸀μὲν εἶπεν ὅτι Προφήτην ὑμῖν ἀναστήσει κύριος ὁ ⸀θεὸς ἐκ τῶν ἀδελφῶν ὑμῶν ὡς ἐμέ· αὐτοῦ ἀκούσεσθε κατὰ πάντα ὅσα ἂν λαλήσῃ πρὸς ὑμᾶς. 
Ac 3:23	ἔσται δὲ πᾶσα ψυχὴ ἥτις ⸀ἂν μὴ ἀκούσῃ τοῦ προφήτου ἐκείνου ἐξολεθρευθήσεται ἐκ τοῦ λαοῦ. 
Ac 3:24	καὶ πάντες δὲ οἱ προφῆται ἀπὸ Σαμουὴλ καὶ τῶν καθεξῆς ὅσοι ἐλάλησαν καὶ κατήγγειλαν τὰς ἡμέρας ταύτας. 
Ac 3:25	ὑμεῖς ἐστε ⸀οἱ υἱοὶ τῶν προφητῶν καὶ τῆς διαθήκης ἧς ⸂διέθετο ὁ θεὸς⸃ πρὸς τοὺς πατέρας ⸀ὑμῶν, λέγων πρὸς Ἀβραάμ Καὶ ἐν τῷ σπέρματί σου ⸀ἐνευλογηθήσονται πᾶσαι αἱ πατριαὶ τῆς γῆς. 
Ac 3:26	ὑμῖν πρῶτον ⸂ἀναστήσας ὁ θεὸς⸃ τὸν παῖδα ⸀αὐτοῦ ἀπέστειλεν αὐτὸν εὐλογοῦντα ὑμᾶς ἐν τῷ ἀποστρέφειν ἕκαστον ἀπὸ τῶν πονηριῶν ὑμῶν. 
Ac 4:1	Λαλούντων δὲ αὐτῶν πρὸς τὸν λαὸν ἐπέστησαν αὐτοῖς οἱ ⸀ἱερεῖς καὶ ὁ στρατηγὸς τοῦ ἱεροῦ καὶ οἱ Σαδδουκαῖοι, 
Ac 4:2	διαπονούμενοι διὰ τὸ διδάσκειν αὐτοὺς τὸν λαὸν καὶ καταγγέλλειν ἐν τῷ Ἰησοῦ τὴν ἀνάστασιν ⸂τὴν ἐκ⸃ νεκρῶν, 
Ac 4:3	καὶ ἐπέβαλον αὐτοῖς τὰς χεῖρας καὶ ἔθεντο εἰς τήρησιν εἰς τὴν αὔριον, ἦν γὰρ ἑσπέρα ἤδη. 
Ac 4:4	πολλοὶ δὲ τῶν ἀκουσάντων τὸν λόγον ἐπίστευσαν, καὶ ἐγενήθη ⸀ὁ ἀριθμὸς τῶν ἀνδρῶν ⸀ὡς χιλιάδες πέντε. 
Ac 4:5	Ἐγένετο δὲ ἐπὶ τὴν αὔριον συναχθῆναι αὐτῶν τοὺς ἄρχοντας καὶ ⸀τοὺς πρεσβυτέρους καὶ ⸁τοὺς γραμματεῖς ⸀ἐν Ἰερουσαλήμ 
Ac 4:6	(καὶ ⸂Ἅννας ὁ ἀρχιερεὺς καὶ Καϊάφας καὶ Ἰωάννης καὶ Ἀλέξανδρος⸃ καὶ ὅσοι ἦσαν ἐκ γένους ἀρχιερατικοῦ), 
Ac 4:7	καὶ στήσαντες αὐτοὺς ἐν ⸀τῷ μέσῳ ἐπυνθάνοντο· Ἐν ποίᾳ δυνάμει ἢ ἐν ποίῳ ὀνόματι ἐποιήσατε τοῦτο ὑμεῖς; 
Ac 4:8	τότε Πέτρος πλησθεὶς πνεύματος ἁγίου εἶπεν πρὸς αὐτούς· Ἄρχοντες τοῦ λαοῦ καὶ ⸀πρεσβύτεροι, 
