ΚΑΤΑ ΛΟΥΚΑΝ 
Lk 1:1	Ἐπειδήπερ πολλοὶ ἐπεχείρησαν ἀνατάξασθαι διήγησιν περὶ τῶν πεπληροφορημένων ἐν ἡμῖν πραγμάτων, 
Lk 1:13	εἶπεν δὲ πρὸς αὐτὸν ὁ ἄγγελος· Μὴ φοβοῦ, Ζαχαρία, διότι εἰσηκούσθη ἡ δέησίς σου, καὶ ἡ γυνή σου Ἐλισάβετ γεννήσει υἱόν σοι, καὶ καλέσεις τὸ ὄνομα αὐτοῦ Ἰωάννην· 
Lk 1:14	καὶ ἔσται χαρά σοι καὶ ἀγαλλίασις, καὶ πολλοὶ ἐπὶ τῇ ⸀γενέσει αὐτοῦ χαρήσονται· 
Lk 1:15	ἔσται γὰρ μέγας ἐνώπιον ⸀τοῦ κυρίου, καὶ οἶνον καὶ σίκερα οὐ μὴ πίῃ, καὶ πνεύματος ἁγίου πλησθήσεται ἔτι ἐκ κοιλίας μητρὸς αὐτοῦ, 
Lk 1:16	καὶ πολλοὺς τῶν υἱῶν Ἰσραὴλ ἐπιστρέψει ἐπὶ κύριον τὸν θεὸν αὐτῶν· 
Lk 1:17	καὶ αὐτὸς προελεύσεται ἐνώπιον αὐτοῦ ἐν πνεύματι καὶ δυνάμει Ἠλίου, ἐπιστρέψαι καρδίας πατέρων ἐπὶ τέκνα καὶ ἀπειθεῖς ἐν φρονήσει δικαίων, ἑτοιμάσαι κυρίῳ λαὸν κατεσκευασμένον. 
Lk 1:18	καὶ εἶπεν Ζαχαρίας πρὸς τὸν ἄγγελον· Κατὰ τί γνώσομαι τοῦτο; ἐγὼ γάρ εἰμι πρεσβύτης καὶ ἡ γυνή μου προβεβηκυῖα ἐν ταῖς ἡμέραις αὐτῆς. 
Lk 1:19	καὶ ἀποκριθεὶς ὁ ἄγγελος εἶπεν αὐτῷ· Ἐγώ εἰμι Γαβριὴλ ὁ παρεστηκὼς ἐνώπιον τοῦ θεοῦ, καὶ ἀπεστάλην λαλῆσαι πρὸς σὲ καὶ εὐαγγελίσασθαί σοι ταῦτα· 
Lk 1:20	καὶ ἰδοὺ ἔσῃ σιωπῶν καὶ μὴ δυνάμενος λαλῆσαι ἄχρι ἧς ἡμέρας γένηται ταῦτα, ἀνθ’ ὧν οὐκ ἐπίστευσας τοῖς λόγοις μου, οἵτινες πληρωθήσονται εἰς τὸν καιρὸν αὐτῶν. 
Lk 1:21	Καὶ ἦν ὁ λαὸς προσδοκῶν τὸν Ζαχαρίαν, καὶ ἐθαύμαζον ἐν τῷ χρονίζειν ⸂ἐν τῷ ναῷ αὐτόν⸃. 
Lk 1:22	ἐξελθὼν δὲ οὐκ ⸀ἐδύνατο λαλῆσαι αὐτοῖς, καὶ ἐπέγνωσαν ὅτι ὀπτασίαν ἑώρακεν ἐν τῷ ναῷ· καὶ αὐτὸς ἦν διανεύων αὐτοῖς, καὶ διέμενεν κωφός. 
Lk 1:23	καὶ ἐγένετο ὡς ἐπλήσθησαν αἱ ἡμέραι τῆς λειτουργίας αὐτοῦ, ἀπῆλθεν εἰς τὸν οἶκον αὐτοῦ. 
Lk 1:24	Μετὰ δὲ ταύτας τὰς ἡμέρας συνέλαβεν Ἐλισάβετ ἡ γυνὴ αὐτοῦ· καὶ περιέκρυβεν ἑαυτὴν μῆνας πέντε, λέγουσα 
Lk 1:25	ὅτι Οὕτως μοι ⸀πεποίηκεν κύριος ἐν ἡμέραις αἷς ἐπεῖδεν ⸀ἀφελεῖν ὄνειδός μου ἐν ἀνθρώποις. 
Lk 1:26	Ἐν δὲ τῷ μηνὶ τῷ ἕκτῳ ἀπεστάλη ὁ ἄγγελος Γαβριὴλ ⸀ἀπὸ τοῦ θεοῦ εἰς πόλιν τῆς Γαλιλαίας ᾗ ὄνομα Ναζαρὲθ 
Lk 1:27	πρὸς παρθένον ⸀ἐμνηστευμένην ἀνδρὶ ᾧ ὄνομα Ἰωσὴφ ἐξ οἴκου Δαυὶδ, καὶ τὸ ὄνομα τῆς παρθένου Μαριάμ. 
Lk 1:28	καὶ ⸀εἰσελθὼν πρὸς αὐτὴν εἶπεν· Χαῖρε, κεχαριτωμένη, ὁ κύριος μετὰ ⸀σοῦ. 
Lk 1:29	ἡ δὲ ⸂ἐπὶ τῷ λόγῳ διεταράχθη⸃ καὶ διελογίζετο ποταπὸς εἴη ὁ ἀσπασμὸς οὗτος. 
Lk 1:30	καὶ εἶπεν ὁ ἄγγελος αὐτῇ· Μὴ φοβοῦ, Μαριάμ, εὗρες γὰρ χάριν παρὰ τῷ θεῷ· 
Lk 1:31	καὶ ἰδοὺ συλλήμψῃ ἐν γαστρὶ καὶ τέξῃ υἱόν, καὶ καλέσεις τὸ ὄνομα αὐτοῦ Ἰησοῦν. 
Lk 1:32	οὗτος ἔσται μέγας καὶ υἱὸς Ὑψίστου κληθήσεται, καὶ δώσει αὐτῷ κύριος ὁ θεὸς τὸν θρόνον Δαυὶδ τοῦ πατρὸς αὐτοῦ, 
Lk 1:33	καὶ βασιλεύσει ἐπὶ τὸν οἶκον Ἰακὼβ εἰς τοὺς αἰῶνας, καὶ τῆς βασιλείας αὐτοῦ οὐκ ἔσται τέλος. 
Lk 1:34	εἶπεν δὲ Μαριὰμ πρὸς τὸν ἄγγελον· Πῶς ἔσται τοῦτο, ἐπεὶ ἄνδρα οὐ γινώσκω; 
Lk 1:35	καὶ ἀποκριθεὶς ὁ ἄγγελος εἶπεν αὐτῇ· Πνεῦμα ἅγιον ἐπελεύσεται ἐπὶ σέ, καὶ δύναμις Ὑψίστου ἐπισκιάσει σοι· διὸ καὶ τὸ γεννώμενον ἅγιον κληθήσεται, υἱὸς θεοῦ· 
Lk 1:36	καὶ ἰδοὺ Ἐλισάβετ ἡ ⸀συγγενίς σου καὶ αὐτὴ ⸀συνείληφεν υἱὸν ἐν γήρει αὐτῆς, καὶ οὗτος μὴν ἕκτος ἐστὶν αὐτῇ τῇ καλουμένῃ στείρᾳ· 
Lk 1:37	ὅτι οὐκ ἀδυνατήσει παρὰ ⸂τοῦ θεοῦ⸃ πᾶν ῥῆμα. 
Lk 1:38	εἶπεν δὲ Μαριάμ· Ἰδοὺ ἡ δούλη κυρίου· γένοιτό μοι κατὰ τὸ ῥῆμά σου. καὶ ἀπῆλθεν ἀπ’ αὐτῆς ὁ ἄγγελος. 
Lk 1:39	Ἀναστᾶσα δὲ Μαριὰμ ἐν ταῖς ἡμέραις ταύταις ἐπορεύθη εἰς τὴν ὀρεινὴν μετὰ σπουδῆς εἰς πόλιν Ἰούδα, 
Lk 1:40	καὶ εἰσῆλθεν εἰς τὸν οἶκον Ζαχαρίου καὶ ἠσπάσατο τὴν Ἐλισάβετ. 
Lk 1:41	καὶ ἐγένετο ὡς ἤκουσεν ⸂τὸν ἀσπασμὸν τῆς Μαρίας ἡ Ἐλισάβετ⸃, ἐσκίρτησεν τὸ βρέφος ἐν τῇ κοιλίᾳ αὐτῆς, καὶ ἐπλήσθη πνεύματος ἁγίου ἡ Ἐλισάβετ, 
Lk 1:42	καὶ ἀνεφώνησεν ⸀κραυγῇ μεγάλῃ καὶ εἶπεν· Εὐλογημένη σὺ ἐν γυναιξίν, καὶ εὐλογημένος ὁ καρπὸς τῆς κοιλίας σου. 
Lk 1:43	καὶ πόθεν μοι τοῦτο ἵνα ἔλθῃ ἡ μήτηρ τοῦ κυρίου μου πρὸς ⸀ἐμέ; 
Lk 1:44	ἰδοὺ γὰρ ὡς ἐγένετο ἡ φωνὴ τοῦ ἀσπασμοῦ σου εἰς τὰ ὦτά μου, ἐσκίρτησεν ⸂ἐν ἀγαλλιάσει τὸ βρέφος⸃ ἐν τῇ κοιλίᾳ μου. 
Lk 1:45	καὶ μακαρία ἡ πιστεύσασα ὅτι ἔσται τελείωσις τοῖς λελαλημένοις αὐτῇ παρὰ κυρίου. 
Lk 1:46	Καὶ εἶπεν Μαριάμ· Μεγαλύνει ἡ ψυχή μου τὸν κύριον, 
Lk 1:47	καὶ ἠγαλλίασεν τὸ πνεῦμά μου ἐπὶ τῷ θεῷ τῷ σωτῆρί μου· 
Lk 1:48	ὅτι ἐπέβλεψεν ἐπὶ τὴν ταπείνωσιν τῆς δούλης αὐτοῦ, ἰδοὺ γὰρ ἀπὸ τοῦ νῦν μακαριοῦσίν με πᾶσαι αἱ γενεαί· 
Lk 1:49	ὅτι ἐποίησέν μοι ⸀μεγάλα ὁ δυνατός, καὶ ἅγιον τὸ ὄνομα αὐτοῦ, 
Lk 1:50	καὶ τὸ ἔλεος αὐτοῦ εἰς γενεὰς ⸂καὶ γενεὰς⸃ τοῖς φοβουμένοις αὐτόν. 
Lk 1:51	Ἐποίησεν κράτος ἐν βραχίονι αὐτοῦ, διεσκόρπισεν ὑπερηφάνους διανοίᾳ καρδίας αὐτῶν· 
Lk 1:52	καθεῖλεν δυνάστας ἀπὸ θρόνων καὶ ὕψωσεν ταπεινούς, 
Lk 1:53	πεινῶντας ἐνέπλησεν ἀγαθῶν καὶ πλουτοῦντας ἐξαπέστειλεν κενούς. 
Lk 1:54	ἀντελάβετο Ἰσραὴλ παιδὸς αὐτοῦ, μνησθῆναι ἐλέους, 
Lk 1:55	καθὼς ἐλάλησεν πρὸς τοὺς πατέρας ἡμῶν, τῷ Ἀβραὰμ καὶ τῷ σπέρματι αὐτοῦ εἰς τὸν αἰῶνα. 
Lk 1:56	Ἔμεινεν δὲ Μαριὰμ σὺν αὐτῇ ⸀ὡς μῆνας τρεῖς, καὶ ὑπέστρεψεν εἰς τὸν οἶκον αὐτῆς. 
Lk 1:57	Τῇ δὲ Ἐλισάβετ ἐπλήσθη ὁ χρόνος τοῦ τεκεῖν αὐτήν, καὶ ἐγέννησεν υἱόν. 
Lk 1:58	καὶ ἤκουσαν οἱ περίοικοι καὶ οἱ συγγενεῖς αὐτῆς ὅτι ἐμεγάλυνεν κύριος τὸ ἔλεος αὐτοῦ μετ’ αὐτῆς, καὶ συνέχαιρον αὐτῇ. 
Lk 1:59	Καὶ ἐγένετο ἐν τῇ ⸂ἡμέρᾳ τῇ ὀγδόῃ⸃ ἦλθον περιτεμεῖν τὸ παιδίον, καὶ ἐκάλουν αὐτὸ ἐπὶ τῷ ὀνόματι τοῦ πατρὸς αὐτοῦ Ζαχαρίαν. 
Lk 1:60	καὶ ἀποκριθεῖσα ἡ μήτηρ αὐτοῦ εἶπεν· Οὐχί, ἀλλὰ κληθήσεται Ἰωάννης. 
Lk 1:61	καὶ εἶπαν πρὸς αὐτὴν ὅτι Οὐδείς ἐστιν ⸂ἐκ τῆς συγγενείας⸃ σου ὃς καλεῖται τῷ ὀνόματι τούτῳ. 
Lk 1:62	ἐνένευον δὲ τῷ πατρὶ αὐτοῦ τὸ τί ἂν θέλοι καλεῖσθαι ⸀αὐτό. 
Lk 1:63	καὶ αἰτήσας πινακίδιον ἔγραψεν λέγων· Ἰωάννης ⸀ἐστὶν ὄνομα αὐτοῦ. καὶ ἐθαύμασαν πάντες. 
Lk 1:64	ἀνεῴχθη δὲ τὸ στόμα αὐτοῦ παραχρῆμα καὶ ἡ γλῶσσα αὐτοῦ, καὶ ἐλάλει εὐλογῶν τὸν θεόν. 
Lk 1:65	καὶ ἐγένετο ἐπὶ πάντας φόβος τοὺς περιοικοῦντας αὐτούς, καὶ ἐν ὅλῃ τῇ ὀρεινῇ τῆς Ἰουδαίας διελαλεῖτο πάντα τὰ ῥήματα ταῦτα, 
Lk 1:66	καὶ ἔθεντο πάντες οἱ ἀκούσαντες ἐν τῇ καρδίᾳ αὐτῶν, λέγοντες· Τί ἄρα τὸ παιδίον τοῦτο ἔσται; καὶ ⸀γὰρ χεὶρ κυρίου ἦν μετ’ αὐτοῦ. 
Lk 1:67	Καὶ Ζαχαρίας ὁ πατὴρ αὐτοῦ ἐπλήσθη πνεύματος ἁγίου καὶ ⸀ἐπροφήτευσεν λέγων· 
Lk 1:68	Εὐλογητὸς κύριος ὁ θεὸς τοῦ Ἰσραήλ, ὅτι ἐπεσκέψατο καὶ ἐποίησεν λύτρωσιν τῷ λαῷ αὐτοῦ, 
Lk 1:69	καὶ ἤγειρεν κέρας σωτηρίας ἡμῖν ⸀ἐν οἴκῳ ⸀Δαυὶδ παιδὸς αὐτοῦ, 
Lk 1:70	καθὼς ἐλάλησεν διὰ στόματος τῶν ⸀ἁγίων ἀπ’ αἰῶνος προφητῶν αὐτοῦ, 
Lk 1:71	σωτηρίαν ἐξ ἐχθρῶν ἡμῶν καὶ ἐκ χειρὸς πάντων τῶν μισούντων ἡμᾶς, 
Lk 1:72	ποιῆσαι ἔλεος μετὰ τῶν πατέρων ἡμῶν καὶ μνησθῆναι διαθήκης ἁγίας αὐτοῦ, 
Lk 1:73	ὅρκον ὃν ὤμοσεν πρὸς Ἀβραὰμ τὸν πατέρα ἡμῶν, τοῦ δοῦναι ἡμῖν 
Lk 1:74	ἀφόβως ἐκ χειρὸς ⸀ἐχθρῶν ῥυσθέντας λατρεύειν αὐτῷ 
Lk 1:75	ἐν ὁσιότητι καὶ δικαιοσύνῃ ἐνώπιον αὐτοῦ ⸂πάσαις ταῖς ἡμέραις⸃ ἡμῶν. 
Lk 1:76	καὶ σὺ ⸀δέ, παιδίον, προφήτης Ὑψίστου κληθήσῃ, προπορεύσῃ γὰρ ⸀ἐνώπιον κυρίου ἑτοιμάσαι ὁδοὺς αὐτοῦ, 
Lk 1:77	τοῦ δοῦναι γνῶσιν σωτηρίας τῷ λαῷ αὐτοῦ ἐν ἀφέσει ἁμαρτιῶν αὐτῶν, 
Lk 1:78	διὰ σπλάγχνα ἐλέους θεοῦ ἡμῶν, ἐν οἷς ⸀ἐπισκέψεται ἡμᾶς ἀνατολὴ ἐξ ὕψους, 
Lk 1:79	ἐπιφᾶναι τοῖς ἐν σκότει καὶ σκιᾷ θανάτου καθημένοις, τοῦ κατευθῦναι τοὺς πόδας ἡμῶν εἰς ὁδὸν εἰρήνης. 
Lk 1:80	Τὸ δὲ παιδίον ηὔξανε καὶ ἐκραταιοῦτο πνεύματι, καὶ ἦν ἐν ταῖς ἐρήμοις ἕως ἡμέρας ἀναδείξεως αὐτοῦ πρὸς τὸν Ἰσραήλ. 
Lk 2:1	Ἐγένετο δὲ ἐν ταῖς ἡμέραις ἐκείναις ἐξῆλθεν δόγμα παρὰ Καίσαρος Αὐγούστου ἀπογράφεσθαι πᾶσαν τὴν οἰκουμένην· 
Lk 2:2	(⸀αὕτη ἀπογραφὴ πρώτη ἐγένετο ἡγεμονεύοντος τῆς Συρίας Κυρηνίου·) 
Lk 2:3	καὶ ἐπορεύοντο πάντες ἀπογράφεσθαι, ἕκαστος εἰς τὴν ⸀ἑαυτοῦ πόλιν. 
Lk 2:4	Ἀνέβη δὲ καὶ Ἰωσὴφ ἀπὸ τῆς Γαλιλαίας ἐκ πόλεως Ναζαρὲθ εἰς τὴν Ἰουδαίαν εἰς πόλιν Δαυὶδ ἥτις καλεῖται Βηθλέεμ, διὰ τὸ εἶναι αὐτὸν ἐξ οἴκου καὶ πατριᾶς Δαυίδ, 
Lk 2:5	ἀπογράψασθαι σὺν Μαριὰμ τῇ ⸂ἐμνηστευμένῃ αὐτῷ⸃, οὔσῃ ἐγκύῳ. 
Lk 2:6	ἐγένετο δὲ ἐν τῷ εἶναι αὐτοὺς ἐκεῖ ἐπλήσθησαν αἱ ἡμέραι τοῦ τεκεῖν αὐτήν, 
Lk 2:7	καὶ ἔτεκεν τὸν υἱὸν αὐτῆς τὸν πρωτότοκον, καὶ ἐσπαργάνωσεν αὐτὸν καὶ ἀνέκλινεν αὐτὸν ⸀ἐν φάτνῃ, διότι οὐκ ἦν αὐτοῖς τόπος ἐν τῷ καταλύματι. 
Lk 2:8	Καὶ ποιμένες ἦσαν ἐν τῇ χώρᾳ τῇ αὐτῇ ἀγραυλοῦντες καὶ φυλάσσοντες φυλακὰς τῆς νυκτὸς ἐπὶ τὴν ποίμνην αὐτῶν. 
Lk 2:9	⸀καὶ ἄγγελος κυρίου ἐπέστη αὐτοῖς καὶ δόξα κυρίου περιέλαμψεν αὐτούς, καὶ ἐφοβήθησαν φόβον μέγαν· 
Lk 2:10	καὶ εἶπεν αὐτοῖς ὁ ἄγγελος· Μὴ φοβεῖσθε, ἰδοὺ γὰρ εὐαγγελίζομαι ὑμῖν χαρὰν μεγάλην ἥτις ἔσται παντὶ τῷ λαῷ, 
Lk 2:11	ὅτι ἐτέχθη ὑμῖν σήμερον σωτὴρ ὅς ἐστιν χριστὸς κύριος ἐν πόλει Δαυίδ· 
Lk 2:12	καὶ τοῦτο ὑμῖν ⸀τὸ σημεῖον, εὑρήσετε βρέφος ἐσπαργανωμένον ⸀καὶ κείμενον ἐν φάτνῃ. 
Lk 2:13	καὶ ἐξαίφνης ἐγένετο σὺν τῷ ἀγγέλῳ πλῆθος στρατιᾶς ⸀οὐρανίου αἰνούντων τὸν θεὸν καὶ λεγόντων· 
Lk 2:14	Δόξα ἐν ὑψίστοις θεῷ καὶ ἐπὶ γῆς εἰρήνη ἐν ἀνθρώποις ⸀εὐδοκίας. 
Lk 2:15	Καὶ ἐγένετο ὡς ἀπῆλθον ἀπ’ αὐτῶν εἰς τὸν οὐρανὸν οἱ ἄγγελοι, ⸀οἱ ποιμένες ⸀ἐλάλουν πρὸς ἀλλήλους· Διέλθωμεν δὴ ἕως Βηθλέεμ καὶ ἴδωμεν τὸ ῥῆμα τοῦτο τὸ γεγονὸς ὃ ὁ κύριος ἐγνώρισεν ἡμῖν. 
Lk 2:16	καὶ ἦλθαν σπεύσαντες καὶ ἀνεῦραν τήν τε Μαριὰμ καὶ τὸν Ἰωσὴφ καὶ τὸ βρέφος κείμενον ἐν τῇ φάτνῃ· 
Lk 2:17	ἰδόντες δὲ ⸀ἐγνώρισαν περὶ τοῦ ῥήματος τοῦ λαληθέντος αὐτοῖς περὶ τοῦ παιδίου τούτου. 
Lk 2:18	καὶ πάντες οἱ ἀκούσαντες ἐθαύμασαν περὶ τῶν λαληθέντων ὑπὸ τῶν ποιμένων πρὸς αὐτούς, 
Lk 2:19	ἡ δὲ ⸀Μαρία πάντα συνετήρει τὰ ῥήματα ταῦτα συμβάλλουσα ἐν τῇ καρδίᾳ αὐτῆς. 
Lk 2:20	καὶ ὑπέστρεψαν οἱ ποιμένες δοξάζοντες καὶ αἰνοῦντες τὸν θεὸν ἐπὶ πᾶσιν οἷς ἤκουσαν καὶ εἶδον καθὼς ἐλαλήθη πρὸς αὐτούς. 
Lk 2:21	Καὶ ὅτε ἐπλήσθησαν ἡμέραι ὀκτὼ τοῦ περιτεμεῖν αὐτόν, καὶ ἐκλήθη τὸ ὄνομα αὐτοῦ Ἰησοῦς, τὸ κληθὲν ὑπὸ τοῦ ἀγγέλου πρὸ τοῦ συλλημφθῆναι αὐτὸν ἐν τῇ κοιλίᾳ. 
Lk 2:22	Καὶ ὅτε ἐπλήσθησαν αἱ ἡμέραι τοῦ καθαρισμοῦ αὐτῶν κατὰ τὸν νόμον Μωϋσέως, ἀνήγαγον αὐτὸν εἰς Ἱεροσόλυμα παραστῆσαι τῷ κυρίῳ, 
Lk 2:23	καθὼς γέγραπται ἐν νόμῳ κυρίου ὅτι Πᾶν ἄρσεν διανοῖγον μήτραν ἅγιον τῷ κυρίῳ κληθήσεται, 
Lk 2:24	καὶ τοῦ δοῦναι θυσίαν κατὰ τὸ εἰρημένον ἐν ⸀τῷ νόμῳ κυρίου, ζεῦγος τρυγόνων ἢ δύο νοσσοὺς περιστερῶν. 
Lk 2:25	Καὶ ἰδοὺ ⸂ἄνθρωπος ἦν⸃ ἐν Ἰερουσαλὴμ ᾧ ὄνομα Συμεών, καὶ ὁ ἄνθρωπος οὗτος δίκαιος καὶ εὐλαβής, προσδεχόμενος παράκλησιν τοῦ Ἰσραήλ, καὶ πνεῦμα ἦν ἅγιον ἐπ’ αὐτόν· 
Lk 2:26	καὶ ἦν αὐτῷ κεχρηματισμένον ὑπὸ τοῦ πνεύματος τοῦ ἁγίου μὴ ἰδεῖν θάνατον πρὶν ⸂ἢ ἂν⸃ ἴδῃ τὸν χριστὸν κυρίου. 
Lk 2:27	καὶ ἦλθεν ἐν τῷ πνεύματι εἰς τὸ ἱερόν· καὶ ἐν τῷ εἰσαγαγεῖν τοὺς γονεῖς τὸ παιδίον Ἰησοῦν τοῦ ποιῆσαι αὐτοὺς κατὰ τὸ εἰθισμένον τοῦ νόμου περὶ αὐτοῦ 
Lk 2:28	καὶ αὐτὸς ἐδέξατο αὐτὸ εἰς τὰς ⸀ἀγκάλας καὶ εὐλόγησεν τὸν θεὸν καὶ εἶπεν· 
Lk 2:29	Νῦν ἀπολύεις τὸν δοῦλόν σου, δέσποτα, κατὰ τὸ ῥῆμά σου ἐν εἰρήνῃ· 
Lk 2:30	ὅτι εἶδον οἱ ὀφθαλμοί μου τὸ σωτήριόν σου 
Lk 2:31	ὃ ἡτοίμασας κατὰ πρόσωπον πάντων τῶν λαῶν, 
Lk 2:32	φῶς εἰς ἀποκάλυψιν ἐθνῶν καὶ δόξαν λαοῦ σου Ἰσραήλ. 
Lk 2:33	καὶ ἦν ⸂ὁ πατὴρ αὐτοῦ⸃ καὶ ἡ ⸀μήτηρ θαυμάζοντες ἐπὶ τοῖς λαλουμένοις περὶ αὐτοῦ. 
Lk 2:34	καὶ εὐλόγησεν αὐτοὺς Συμεὼν καὶ εἶπεν πρὸς Μαριὰμ τὴν μητέρα αὐτοῦ· Ἰδοὺ οὗτος κεῖται εἰς πτῶσιν καὶ ἀνάστασιν πολλῶν ἐν τῷ Ἰσραὴλ καὶ εἰς σημεῖον ἀντιλεγόμενον, 
Lk 2:35	καὶ σοῦ ⸀δὲ αὐτῆς τὴν ψυχὴν διελεύσεται ῥομφαία, ὅπως ἂν ἀποκαλυφθῶσιν ἐκ πολλῶν καρδιῶν διαλογισμοί. 
Lk 2:36	Καὶ ἦν Ἅννα προφῆτις, θυγάτηρ Φανουήλ, ἐκ φυλῆς Ἀσήρ (αὕτη προβεβηκυῖα ἐν ἡμέραις πολλαῖς, ζήσασα ⸂μετὰ ἀνδρὸς ἔτη⸃ ἑπτὰ ἀπὸ τῆς παρθενίας αὐτῆς, 
Lk 2:37	καὶ αὐτὴ χήρα ⸀ἕως ἐτῶν ὀγδοήκοντα τεσσάρων,) ἣ οὐκ ⸀ἀφίστατο τοῦ ἱεροῦ νηστείαις καὶ δεήσεσιν λατρεύουσα νύκτα καὶ ἡμέραν. 
Lk 2:38	⸀καὶ αὐτῇ τῇ ὥρᾳ ἐπιστᾶσα ἀνθωμολογεῖτο τῷ ⸀θεῷ καὶ ἐλάλει περὶ αὐτοῦ πᾶσιν τοῖς προσδεχομένοις ⸀λύτρωσιν Ἰερουσαλήμ. 
Lk 2:39	Καὶ ὡς ἐτέλεσαν ⸀πάντα τὰ κατὰ τὸν νόμον κυρίου, ⸀ἐπέστρεψαν εἰς τὴν Γαλιλαίαν ⸀εἰς πόλιν ἑαυτῶν Ναζαρέθ. 
Lk 2:40	Τὸ δὲ παιδίον ηὔξανεν καὶ ἐκραταιοῦτο ⸂πληρούμενον σοφίᾳ⸃, καὶ χάρις θεοῦ ἦν ἐπ’ αὐτό. 
Lk 2:41	Καὶ ἐπορεύοντο οἱ γονεῖς αὐτοῦ κατ’ ἔτος εἰς Ἰερουσαλὴμ τῇ ἑορτῇ τοῦ πάσχα. 
Lk 2:42	καὶ ὅτε ἐγένετο ἐτῶν δώδεκα, ⸀ἀναβαινόντων ⸀αὐτῶν κατὰ τὸ ἔθος τῆς ἑορτῆς 
Lk 2:43	καὶ τελειωσάντων τὰς ἡμέρας, ἐν τῷ ὑποστρέφειν αὐτοὺς ὑπέμεινεν Ἰησοῦς ὁ παῖς ἐν Ἰερουσαλήμ, καὶ οὐκ ⸂ἔγνωσαν οἱ γονεῖς⸃ αὐτοῦ. 
Lk 2:44	νομίσαντες δὲ αὐτὸν ⸂εἶναι ἐν τῇ συνοδίᾳ⸃ ἦλθον ἡμέρας ὁδὸν καὶ ἀνεζήτουν αὐτὸν ἐν τοῖς συγγενεῦσιν ⸀καὶ τοῖς γνωστοῖς, 
Lk 2:45	καὶ μὴ ⸀εὑρόντες ὑπέστρεψαν εἰς Ἰερουσαλὴμ ⸀ἀναζητοῦντες αὐτόν. 
Lk 2:46	καὶ ἐγένετο μετὰ ἡμέρας τρεῖς εὗρον αὐτὸν ἐν τῷ ἱερῷ καθεζόμενον ἐν μέσῳ τῶν διδασκάλων καὶ ἀκούοντα αὐτῶν καὶ ἐπερωτῶντα αὐτούς· 
Lk 2:47	ἐξίσταντο δὲ πάντες οἱ ἀκούοντες αὐτοῦ ἐπὶ τῇ συνέσει καὶ ταῖς ἀποκρίσεσιν αὐτοῦ. 
Lk 2:48	καὶ ἰδόντες αὐτὸν ἐξεπλάγησαν, καὶ ⸂εἶπεν πρὸς αὐτὸν ἡ μήτηρ αὐτοῦ⸃· Τέκνον, τί ἐποίησας ἡμῖν οὕτως; ἰδοὺ ὁ πατήρ σου καὶ ἐγὼ ὀδυνώμενοι ⸀ἐζητοῦμέν σε. 
Lk 2:49	καὶ εἶπεν πρὸς αὐτούς· Τί ὅτι ἐζητεῖτέ με; οὐκ ᾔδειτε ὅτι ἐν τοῖς τοῦ πατρός μου δεῖ εἶναί με; 
